Chl,A1,B1,A2,B2
0.01,0.4488,0.0319,0.294,0.3306
0.02,0.4563,0.0355,0.2894,0.3433
0.03,0.4622,0.0384,0.2858,0.3537
0.05,0.4715,0.0434,0.28,0.3705
0.1,0.4877,0.0532,0.2703,0.4031
0.15,0.4993,0.0612,0.2628,0.4262
0.2,0.5084,0.0681,0.2571,0.4456
0.25,0.5159,0.0743,0.2523,0.4621
0.3,0.5223,0.08,0.2481,0.4763
0.35,0.5278,0.0853,0.2444,0.4889
0.4,0.5326,0.0902,0.2411,0.4999
0.45,0.5369,0.0949,0.2382,0.51
0.5,0.5408,0.0993,0.2356,0.5191
0.6,0.5474,0.1077,0.2309,0.5347
0.7,0.5529,0.1154,0.2269,0.5477
0.8,0.5576,0.1227,0.2235,0.5588
0.9,0.5615,0.1294,0.2206,0.5682
1,0.5649,0.1359,0.2181,0.5764
1.5,0.5757,0.164,0.2106,0.6042
2,0.5802,0.1876,0.2089,0.6206
2.5,0.5808,0.2082,0.2113,0.6324
3,0.5788,0.2264,0.2167,0.6425
