 wl         kw       chi        e 
350.0    0.02710   0.19030   0.65230
355.0    0.02435   0.18090   0.65790
360.0    0.02160   0.17310   0.65300
365.0    0.01915   0.16690   0.65300
370.0    0.01670   0.16130   0.65340
375.0    0.01639   0.15620   0.65950
380.0    0.01607   0.15130   0.66270
385.0    0.01386   0.14600   0.66510
390.0    0.01271   0.14200   0.66100
395.0    0.01213   0.13800   0.64200
400.0    0.01043   0.13400   0.63800
405.0    0.00890   0.13330   0.62800
410.0    0.00813   0.13470   0.62800
415.0    0.00766   0.13460   0.63100
420.0    0.00759   0.13220   0.63420
425.0    0.00768   0.12960   0.63780
430.0    0.00770   0.12730   0.63660
435.0    0.00790   0.12480   0.63740
440.0    0.00880   0.12060   0.64340
445.0    0.00986   0.11570   0.64500
450.0    0.01147   0.11030   0.64320
455.0    0.01177   0.10680   0.63700
460.0    0.01184   0.10380   0.63450
465.0    0.01206   0.10050   0.63940
470.0    0.01245   0.09700   0.63250
475.0    0.01318   0.09330   0.62870
480.0    0.01440   0.08910   0.63260
485.0    0.01522   0.08620   0.62690
490.0    0.01655   0.08320   0.62500
495.0    0.01880   0.08030   0.62360
500.0    0.02185   0.07740   0.62460
505.0    0.02698   0.07330   0.62550
510.0    0.03380   0.06910   0.62500
515.0    0.04085   0.06750   0.61500
520.0    0.04210   0.06600   0.59200
525.0    0.04285   0.06580   0.57500
530.0    0.04450   0.06400   0.55860
535.0    0.04628   0.06300   0.55140
540.0    0.04845   0.06230   0.54380
545.0    0.05210   0.06030   0.53320
550.0    0.05745   0.05710   0.53030
555.0    0.06053   0.05610   0.52500
560.0    0.06280   0.05550   0.52000
565.0    0.06508   0.05510   0.51500
570.0    0.07035   0.05450   0.50500
575.0    0.07802   0.05420   0.50100
580.0    0.09040   0.05350   0.50100
585.0    0.11078   0.05250   0.50200
590.0    0.13585   0.05220   0.50200
595.0    0.16793   0.05210   0.50200
600.0    0.22310   0.05220   0.49500
605.0    0.25837   0.05250   0.49100
610.0    0.26505   0.05230   0.48900
615.0    0.26842   0.05380   0.48200
620.0    0.27610   0.05550   0.48100
625.0    0.28398   0.05600   0.48000
630.0    0.29215   0.05700   0.48300
635.0    0.30173   0.05850   0.48800
640.0    0.31130   0.05980   0.49000
645.0    0.32550   0.06050   0.50100
650.0    0.34050   0.06200   0.50500
655.0    0.37145   0.06150   0.50800
660.0    0.41040   0.06400   0.51000
665.0    0.42940   0.06750   0.51300
670.0    0.43940   0.07050   0.51000
675.0    0.44837   0.07350   0.49500
680.0    0.46535   0.07400   0.46500
685.0    0.48635   0.06700   0.43200
690.0    0.51635   0.05800   0.40500
695.0    0.55935   0.04600   0.36500
700.0    0.62435   0.02700   0.33000
